TagId,DeployDate,Species,TagType,AntennaType
332D074B,09/03/23,NOWA,Power,1/8 wave
664C5219,08/23/23,NOWA,Power,1/8 wave
4C2A0707,08/20/23,NOWA,Power,1/8 wave
78070752,08/27/23,NOWA,Power,1/8 wave
52072D19,08/20/23,NOWA,Power,1/8 wave
4C4B6633,08/20/23,NOWA,Power,1/8 wave
334C5566,08/19/23,NOWA,Power,1/8 wave
07611E78,08/23/23,NOWA,Power,1/8 wave
1E2D1E52,08/27/23,NOWA,Power,1/8 wave
3452522D,08/26/23,NOWA,Power,1/8 wave
78343333,08/28/23,NOWA,Power,1/8 wave
52661966,09/01/23,NOWA,Power,1/8 wave
2D2A1E52,09/14/23,NOWA,Power,1/8 wave
1E782D66,08/28/23,NOWA,Power,1/8 wave
78333352,08/30/23,NOWA,Power,1/8 wave
342D614C,08/29/23,NOWA,Power,1/8 wave
614B661E,09/14/23,NOWA,Power,1/8 wave
34522A61,08/29/23,NOWA,Power,1/8 wave
34781E19,09/23/23,NOWA,Power,1/8 wave
2A342A78,10/08/23,NOWA,Power,1/8 wave
34076652,10/05/23,NOWA,Power,1/8 wave
522D4B19,09/28/23,NOWA,Power,1/8 wave
1978341E,10/25/23,NOWA,Power,1/8 wave
4B552D2D,10/23/23,NOWA,Power,1/8 wave
2D072D78,10/03/23,NOWA,Power,1/8 wave
612A3366,09/28/23,NOWA,Power,1/8 wave
2D2D2D4B,10/14/23,NOWA,Power,1/8 wave
522D614B,09/30/23,NOWA,Power,1/8 wave
664C3461,10/12/23,NOWA,Power,1/8 wave
4B197852,09/10/23,NOWA,Life,1/8 wave
4B2D1919,09/01/23,NOWA,Life,1/8 wave
3419522D,09/11/23,NOWA,Life,1/8 wave
4C2D6133,09/11/23,NOWA,Life,1/8 wave
4C553319,09/14/23,NOWA,Life,1/8 wave
2A072D55,09/14/23,NOWA,Life,1/8 wave
2A2D0734,09/04/23,NOWA,Life,1/8 wave
07662D52,09/14/23,NOWA,Life,1/8 wave
1E782D4B,09/01/23,NOWA,Life,1/8 wave
2A19191E,08/31/23,NOWA,Life,1/8 wave
4C555534,09/08/23,REVI,Life,1/4 wave
4B610734,09/12/23,REVI,Life,1/4 wave
4C4B612D,09/12/23,REVI,Life,1/4 wave
2A4C0752,09/12/23,REVI,Life,1/4 wave
66664B4B,09/13/23,REVI,Life,1/4 wave
1E4B7861,09/14/23,REVI,Life,1/4 wave
552A5552,09/25/23,REVI,Life,1/4 wave
0707782D,09/15/23,REVI,Life,1/4 wave
52521961,09/12/23,REVI,Life,1/4 wave
78335207,09/13/23,REVI,Life,1/4 wave
6652664B,09/13/23,REVI,Life,1/4 wave
2D552D19,09/13/23,REVI,Life,1/4 wave
4B66551E,09/14/23,REVI,Life,1/4 wave
2D1E5219,09/15/23,REVI,Life,1/4 wave
4B2A5234,09/15/23,REVI,Life,1/4 wave
4B192A07,09/15/23,REVI,Life,1/4 wave
2A4B3378,09/21/23,REVI,Life,1/4 wave
2A196633,09/22/23,REVI,Life,1/4 wave
52781E52,09/22/23,REVI,Life,1/4 wave
52551E1E,09/21/23,REVI,Life,1/4 wave
1E1E4C55,09/14/23,VEER,Hybrid,1/4 wave
4C2A784B,09/14/23,VEER,Hybrid,1/4 wave
78551966,09/14/23,VEER,Hybrid,1/4 wave
4C2D1E34,09/14/23,VEER,Hybrid,1/4 wave
52071E07,09/16/23,VEER,Hybrid,1/4 wave
52784C66,09/16/23,VEER,Hybrid,1/4 wave
1E1E5534,09/16/23,VEER,Hybrid,1/4 wave
07555255,09/17/23,VEER,Hybrid,1/4 wave
1E076666,09/17/23,VEER,Hybrid,1/4 wave
19193378,09/17/23,VEER,Hybrid,1/4 wave
4C52612D,09/19/23,VEER,Hybrid,1/4 wave
2D554B66,09/19/23,VEER,Hybrid,1/4 wave
52613378,09/20/23,VEER,Hybrid,1/4 wave
1E66334C,09/21/23,VEER,Hybrid,1/4 wave
524B1E78,09/25/23,VEER,Hybrid,1/4 wave
6619664C,09/21/23,VEER,Hybrid,1/4 wave
0734554B,09/25/23,VEER,Hybrid,1/4 wave
5219664C,09/27/23,VEER,Hybrid,1/4 wave
4B4B551E,09/28/23,VEER,Hybrid,1/4 wave
551E6161,09/28/23,VEER,Hybrid,1/4 wave
2A33344B,09/30/23,GRCA,Hybrid,1/4 wave
34195219,09/30/23,GRCA,Hybrid,1/4 wave
4B4C6119,10/02/23,GRCA,Hybrid,1/4 wave
2A343407,10/02/23,GRCA,Hybrid,1/4 wave
2A33611E,10/03/23,GRCA,Hybrid,1/4 wave
194C7834,10/03/23,GRCA,Hybrid,1/4 wave
2D55344C,10/04/23,GRCA,Hybrid,1/4 wave
7833782D,10/04/23,GRCA,Hybrid,1/4 wave
2D1E5507,10/04/23,GRCA,Hybrid,1/4 wave
072D5533,10/04/23,GRCA,Hybrid,1/4 wave
4B1E3355,10/04/23,GRCA,Hybrid,1/4 wave
1E521933,10/06/23,GRCA,Hybrid,1/4 wave
55552D1E,10/06/23,GRCA,Hybrid,1/4 wave
19556666,10/06/23,GRCA,Hybrid,1/4 wave
2D55612D,10/08/23,GRCA,Hybrid,1/4 wave
2A4C6655,10/22/23,GRCA,Life,1/4 wave
34076655,10/25/23,GRCA,Life,1/4 wave
2D52344C,10/26/23,GRCA,Life,1/4 wave
1E196178,10/03/23,SWSP,Power,1/8 wave
072D4B34,10/03/23,SWSP,Power,1/8 wave
2D4B782D,10/03/23,SWSP,Power,1/8 wave
19554C52,10/03/23,SWSP,Power,1/8 wave
7833781E,10/03/23,SWSP,Power,1/8 wave
4C554B1E,10/03/23,SWSP,Power,1/8 wave
66341E66,10/14/23,SWSP,Power,1/8 wave
4B332A78,10/14/23,SWSP,Power,1/8 wave
1E4C2D2D,10/14/23,SWSP,Power,1/8 wave
334B5561,10/14/23,SWSP,Power,1/8 wave
34332A78,10/14/23,SWSP,Power,1/8 wave
34613461,08/16/23,SWSP,Power,1/8 wave
1E195261,10/14/23,SWSP,Power,1/8 wave
1E2D6678,10/14/23,SWSP,Power,1/8 wave
4B666134,10/14/23,SWSP,Power,1/8 wave
664C1E07,10/14/23,SWSP,Power,1/8 wave
1E071E4C,10/15/23,SWSP,Power,1/8 wave
66551907,08/16/23,SWSP,Power,1/8 wave
2D552A78,08/16/23,SWSP,Power,1/8 wave
IE78342D,08/16/23,SWSP,Power,1/8 wave
2A1E782D,09/29/23,SWSP,Power,1/8 wave
611E5552,10/01/23,SWSP,Power,1/8 wave
344B3466,10/02/23,SWSP,Power,1/8 wave
1E616155,10/02/23,SWSP,Power,1/8 wave
192A192D,10/02/23,SWSP,Power,1/8 wave
521E1E2A,10/02/23,SWSP,Power,1/8 wave
34336166,10/02/23,SWSP,Power,1/8 wave
521E0734,10/02/23,SWSP,Power,1/8 wave
