tag_type,tag_id,time_utc,rssi,lat,lon,heading,antenna_angle
radio434mhz,4C34074B,2023-08-03 19:42:44.721001Z,-42,38.935561,-74.948195,24.273,0.000
radio434mhz,072A6633,2023-08-03 19:42:45.307456Z,-25,38.935561,-74.948195,23.548,0.000
radio434mhz,19332A07,2023-08-03 19:42:48.366123Z,-51,38.935569,-74.948195,15.840,0.000
radio434mhz,4C34074B,2023-08-03 19:42:54.981168Z,-39,38.935571,-74.948210,19.384,0.000
radio434mhz,072A6633,2023-08-03 19:42:56.016012Z,-25,38.935571,-74.948210,20.136,0.000
radio434mhz,19332A07,2023-08-03 19:42:58.491334Z,-45,38.935571,-74.948210,20.932,0.000
radio434mhz,4C34074B,2023-08-03 19:43:05.195892Z,-42,38.935593,-74.948231,26.452,0.000
radio434mhz,072A6633,2023-08-03 19:43:06.680904Z,-25,38.935598,-74.948230,24.316,0.000
radio434mhz,19332A07,2023-08-03 19:43:08.618103Z,-48,38.935607,-74.948235,30.607,0.000
radio434mhz,4C34074B,2023-08-03 19:43:15.411835Z,-42,38.935639,-74.948242,32.171,0.000
radio434mhz,072A6633,2023-08-03 19:43:17.391783Z,-26,38.935650,-74.948249,31.574,0.000
radio434mhz,19332A07,2023-08-03 19:43:18.741868Z,-48,38.935654,-74.948250,43.545,0.000
radio434mhz,4C34074B,2023-08-03 19:43:25.626897Z,-41,38.935694,-74.948255,35.674,0.000
radio434mhz,072A6633,2023-08-03 19:43:28.057752Z,-25,38.935711,-74.948256,40.645,0.000
radio434mhz,19332A07,2023-08-03 19:43:28.912052Z,-51,38.935711,-74.948256,43.922,0.000
radio434mhz,4C34074B,2023-08-03 19:43:35.887349Z,-48,38.935738,-74.948253,24.737,0.000
radio434mhz,072A6633,2023-08-03 19:43:38.767318Z,-25,38.935755,-74.948258,36.012,0.000
radio434mhz,19332A07,2023-08-03 19:43:39.036644Z,-51,38.935755,-74.948258,36.206,0.000
radio434mhz,4C34074B,2023-08-03 19:43:46.103197Z,-42,38.935798,-74.948258,35.809,0.000
radio434mhz,19332A07,2023-08-03 19:43:49.162394Z,-45,38.935820,-74.948262,32.129,0.000
radio434mhz,072A6633,2023-08-03 19:43:49.477199Z,-25,38.935820,-74.948262,33.996,0.000
radio434mhz,4C34074B,2023-08-03 19:43:56.317509Z,-48,38.935847,-74.948259,31.249,0.000
radio434mhz,19332A07,2023-08-03 19:43:59.288825Z,-48,38.935859,-74.948254,34.001,0.000
radio434mhz,072A6633,2023-08-03 19:44:00.142653Z,-25,38.935866,-74.948256,32.597,0.000
radio434mhz,4C34074B,2023-08-03 19:44:06.577624Z,-47,38.935908,-74.948251,37.122,0.000
radio434mhz,19332A07,2023-08-03 19:44:09.457250Z,-48,38.935916,-74.948251,33.089,0.000
radio434mhz,072A6633,2023-08-03 19:44:10.852244Z,-25,38.935923,-74.948247,27.351,0.000
radio434mhz,4C34074B,2023-08-03 19:44:16.747942Z,-53,38.935963,-74.948253,32.153,0.000
radio434mhz,19332A07,2023-08-03 19:44:19.583036Z,-48,38.935985,-74.948253,33.799,0.000
radio434mhz,072A6633,2023-08-03 19:44:21.563086Z,-25,38.935987,-74.948257,22.721,0.000
radio434mhz,4C34074B,2023-08-03 19:44:27.008100Z,-51,38.936032,-74.948261,21.664,0.000
radio434mhz,19332A07,2023-08-03 19:44:29.708294Z,-47,38.936061,-74.948271,26.817,0.000
radio434mhz,072A6633,2023-08-03 19:44:32.274724Z,-25,38.936078,-74.948266,30.727,0.000
radio434mhz,4C34074B,2023-08-03 19:44:37.223507Z,-50,38.936121,-74.948268,26.508,0.000
radio434mhz,19332A07,2023-08-03 19:44:39.833670Z,-53,38.936140,-74.948266,19.971,0.000
radio434mhz,072A6633,2023-08-03 19:44:42.939628Z,-26,38.936151,-74.948267,28.071,0.000
radio434mhz,4C34074B,2023-08-03 19:44:47.483792Z,-51,38.936179,-74.948279,26.305,0.000
