tag_type,tag_id,time_utc,rssi,lat,lon,heading,antenna_angle
radio434mhz,072A6633,2023-08-03 20:15:46.607759Z,-26,38.938273,-74.945298,27.367,0.000
radio434mhz,19332A07,2023-08-03 20:15:49.532925Z,-36,38.938266,-74.945321,27.605,0.000
radio434mhz,4C34074B,2023-08-03 20:15:54.483067Z,-37,38.938252,-74.945390,335.343,0.000
radio434mhz,072A6633,2023-08-03 20:15:57.319755Z,-25,38.938257,-74.945429,12.004,0.000
radio434mhz,19332A07,2023-08-03 20:15:59.793243Z,-38,38.938260,-74.945455,4.626,0.000
radio434mhz,4C34074B,2023-08-03 20:16:04.834508Z,-41,38.938281,-74.945517,28.759,0.000
radio434mhz,072A6633,2023-08-03 20:16:08.028562Z,-25,38.938292,-74.945549,36.630,0.000
radio434mhz,19332A07,2023-08-03 20:16:10.098568Z,-35,38.938294,-74.945583,27.591,0.000
radio434mhz,4C34074B,2023-08-03 20:16:15.183427Z,-39,38.938290,-74.945631,23.898,0.000
radio434mhz,072A6633,2023-08-03 20:16:18.738730Z,-25,38.938292,-74.945665,43.219,0.000
radio434mhz,19332A07,2023-08-03 20:16:20.313681Z,-34,38.938293,-74.945689,16.262,0.000
radio434mhz,4C34074B,2023-08-03 20:16:25.533064Z,-40,38.938303,-74.945746,39.698,0.000
radio434mhz,072A6633,2023-08-03 20:16:29.448369Z,-25,38.938310,-74.945786,22.581,0.000
radio434mhz,19332A07,2023-08-03 20:16:30.618829Z,-35,38.938313,-74.945802,31.287,0.000
radio434mhz,4C34074B,2023-08-03 20:16:35.929416Z,-37,38.938322,-74.945865,30.040,0.000
radio434mhz,072A6633,2023-08-03 20:16:40.158526Z,-25,38.938322,-74.945925,59.217,0.000
radio434mhz,19332A07,2023-08-03 20:16:40.878263Z,-48,38.938322,-74.945925,64.429,0.000
radio434mhz,4C34074B,2023-08-03 20:16:46.280367Z,-46,38.938329,-74.945995,67.676,0.000
radio434mhz,072A6633,2023-08-03 20:16:50.870413Z,-25,38.938341,-74.946044,19.228,0.000
radio434mhz,19332A07,2023-08-03 20:16:51.138695Z,-43,38.938341,-74.946057,1.934,0.000
radio434mhz,4C34074B,2023-08-03 20:16:56.629261Z,-36,38.938355,-74.946119,17.530,0.000
radio434mhz,19332A07,2023-08-03 20:17:01.399402Z,-37,38.938370,-74.946175,22.298,0.000
radio434mhz,072A6633,2023-08-03 20:17:01.624357Z,-25,38.938370,-74.946175,14.933,0.000
radio434mhz,4C34074B,2023-08-03 20:17:07.024431Z,-35,38.938388,-74.946231,14.985,0.000
radio434mhz,19332A07,2023-08-03 20:17:11.749481Z,-33,38.938403,-74.946289,18.301,0.000
radio434mhz,072A6633,2023-08-03 20:17:12.379716Z,-25,38.938406,-74.946300,19.213,0.000
